Date,Price
2024-05-03,3209.38
2024-05-04,3224.05
2024-05-05,3218.95
2024-05-06,3190.98
2024-05-07,3191.27
2024-05-08,3180.79
2024-05-09,3168.56
2024-05-10,3191.1
2024-05-11,3214.79
2024-05-12,3201.93
2024-05-13,3216.13
2024-05-14,3150.44
2024-05-15,3188.65
2024-05-16,3156.33
2024-05-17,3200.05
2024-05-18,3193.89
2024-05-19,3226.76
2024-05-20,3189.53
2024-05-21,3172.24
2024-05-22,3167.22
2024-05-23,3167.66
2024-05-24,3193.77
2024-05-25,3197.24
2024-05-26,3218.76
2024-05-27,3196.59
2024-05-28,3164.53
2024-05-29,3153.29
2024-05-30,3181.01
2024-05-31,3195.2
2024-06-01,3226.82
2024-06-02,3176.19
2024-06-03,3200.2
2024-06-04,3173.89
2024-06-05,3182.5
2024-06-06,3173.55
2024-06-07,3171.77
2024-06-08,3216.66
2024-06-09,3191.65
2024-06-10,3217.22
2024-06-11,3212.32
2024-06-12,3196.01
2024-06-13,3181.18
2024-06-14,3198.29
2024-06-15,3224.46
2024-06-16,3227.34
2024-06-17,3213.11
2024-06-18,3194.77
2024-06-19,3168.86
2024-06-20,3190.88
2024-06-21,3190.52
2024-06-22,3207.27
2024-06-23,3227.02
2024-06-24,3197.83
2024-06-25,3191.48
2024-06-26,3178.96
2024-06-27,3204.44
2024-06-28,3193.57
2024-06-29,3205.61
2024-06-30,3215.96
2024-07-01,3185.97
2024-07-02,3150.4
2024-07-03,3168.79
2024-07-04,3145.38
2024-07-05,3145.38
2024-07-06,3181.77
2024-07-07,3182.16
2024-07-08,3169.56
2024-07-09,3185.0
2024-07-10,3117.37
2024-07-11,3135.34
2024-07-12,3150.09
2024-07-13,3175.56
2024-07-14,3184.89
2024-07-15,3164.81
2024-07-16,3129.27
2024-07-17,3141.41
2024-07-18,3165.41
2024-07-19,3175.52
2024-07-20,3182.98
2024-07-21,3162.46
2024-07-22,3168.52
2024-07-23,3159.11
2024-07-24,3145.92
2024-07-25,3147.91
2024-07-26,3150.29
2024-07-27,3196.76
2024-07-28,3166.59
2024-07-29,3160.11
2024-07-30,3125.18
2024-07-31,3129.25
2024-08-01,3175.98
2024-08-02,3179.45
2024-08-03,3236.33
2024-08-04,3208.59
2024-08-05,3184.94
2024-08-06,3181.77
2024-08-07,3191.61
2024-08-08,3161.53
2024-08-09,3220.96
2024-08-10,3225.26
2024-08-11,3209.64
2024-08-12,3193.84
2024-08-13,3196.94
2024-08-14,3184.21
2024-08-15,3205.29
2024-08-16,3187.69
